experiment,points,radian,qgis,result
1,100,0.017281771,0.001002073,-94.20155894
1,500,0.020203829,0.019335032,-4.300161669
1,1000,0.026239395,0.025974989,-1.007668823
1,5000,0.070110083,0.055295944,-21.12982592
1,10000,0.131057024,0.089276314,-31.87979472
1,50000,0.629206419,0.371100187,-41.02091522
1,100000,1.252923489,0.788831472,-37.04073077
1,500000,6.187516928,3.755118608,-39.31138044
1,1000000,12.44333839,7.667963982,-38.37695529
1,5000000,62.13124561,39.18069458,-36.9388233
1,10000000,130.5865676,78.55717278,-39.84283821
2,100,1.324067831,0.001000166,-99.92446264
2,500,0.026796579,0.01912117,-28.64324291
2,1000,0.025505781,0.023784637,-6.748053356
2,5000,0.072701931,0.051130295,-29.67133872
2,10000,0.130661249,0.087957859,-32.68252094
2,50000,0.585875273,0.396625996,-32.3019738
2,100000,1.147887945,0.769033432,-33.00448574
2,500000,5.777936459,3.698063135,-35.9968189
2,1000000,12.02251863,7.471734047,-37.85217329
2,5000000,64.9643991,38.72198868,-40.39506374
2,10000000,136.8424449,83.4068675,-39.04897887
3,100,1.601004839,0.001000166,-99.93752886
3,500,0.021620035,0.02007246,-7.158059571
3,1000,0.028914928,0.023485422,-18.77751942
3,5000,0.078088284,0.051811934,-33.64954233
3,10000,0.14112401,0.085952759,-39.09416354
3,50000,0.626691103,0.371959925,-40.64700729
3,100000,1.238785267,0.775037766,-37.4356649
3,500000,6.218863964,3.680883646,-40.81099591
3,1000000,12.46354032,7.602730274,-39.00023523
3,5000000,64.85537815,37.84029555,-41.65434443
3,10000000,130.2122931,83.77130103,-35.66559731
4,100,1.579491377,0.001616001,-99.89768851
4,500,0.022713661,0.019342899,-14.84024016
4,1000,0.026095152,0.023397684,-10.3370458
4,5000,0.073114872,0.05017066,-31.38104648
4,10000,0.134199619,0.086723566,-35.37718921
4,50000,0.606337309,0.388661623,-35.90009763
4,100000,1.180619001,0.780044079,-33.92922883
4,500000,6.01377368,3.719156981,-38.15602019
4,1000000,11.79908276,7.509093046,-36.35867125
4,5000000,61.62800074,37.84752297,-38.58713163
4,10000000,134.1070306,77.29295754,-42.36472377
5,100,1.769933701,0.000913858,-99.94836765
5,500,0.023862123,0.021140814,-11.40430634
5,1000,0.028704166,0.023341656,-18.68199412
5,5000,0.082942724,0.050259352,-39.40474924
5,10000,0.142430067,0.085268736,-40.13291039
5,50000,0.639336348,0.378817797,-40.74827778
5,100000,1.279654264,0.834750652,-34.7674856
5,500000,6.844789028,3.672566414,-46.34507508
5,1000000,13.39544606,7.615296602,-43.15010813
5,5000000,66.93900347,38.23361945,-42.88289716
5,10000000,137.8172274,77.96843433,-43.42620598
6,100,1.715683937,0.000999928,-99.94171843
6,500,0.021469355,0.021132469,-1.569145687
6,1000,0.027926683,0.023582935,-15.5541137
6,5000,0.079693317,0.052501917,-34.12005098
6,10000,0.137585878,0.086363792,-37.22917392
6,50000,0.634221554,0.393539667,-37.9491812
6,100000,1.23560667,0.770539522,-37.63876963
6,500000,6.12910533,3.688828468,-39.81456885
6,1000000,12.39540839,7.487987995,-39.590631
6,5000000,64.6027751,38.83805299,-39.88175751
6,10000000,134.3043671,85.96212339,-35.99454339
7,100,1.717392206,0.001017809,-99.94073521
7,500,0.023548841,0.020326138,-13.685191
7,1000,0.027071476,0.022126913,-18.2648442
7,5000,0.077015162,0.05022049,-34.79142481
7,10000,0.137651682,0.085061789,-38.2050496
7,50000,0.610414267,0.366542339,-39.95187213
7,100000,1.21955061,0.738546848,-39.44106604
7,500000,6.135310411,3.667845488,-40.21744229
7,1000000,12.3621912,7.537314415,-39.02930077
7,5000000,64.53044581,38.13295531,-40.90703259
7,10000000,133.4265647,76.96454573,-42.31692474
8,100,1.802714109,0.001000166,-99.94451888
8,500,0.021473408,0.01984024,-7.60553372
8,1000,0.027943611,0.022176504,-20.63837412
8,5000,0.076790094,0.050282478,-34.51957737
8,10000,0.136795759,0.093863726,-31.38403836
8,50000,0.619030237,0.387261629,-37.44059566
8,100000,1.240313292,0.785948515,-36.63306519
8,500000,6.1718297,3.701752901,-40.02179126
8,1000000,12.46089339,7.513455868,-39.7037144
8,5000000,65.74734139,37.69875312,-42.66117486
8,10000000,131.5255818,77.04708433,-41.42045733
9,100,1.704852104,0.000999928,-99.94134814
9,500,0.019718885,0.019104719,-3.114609404
9,1000,0.028051376,0.02230835,-20.47324403
9,5000,0.076280594,0.052246332,-31.50770135
9,10000,0.133814335,0.088365316,-33.96423748
9,50000,0.609638929,0.365098715,-40.112303
9,100000,1.220530272,0.769169569,-36.98070528
9,500000,6.156237841,3.725321531,-39.48704342
9,1000000,12.32294202,7.549046755,-38.73989877
9,5000000,64.96601343,38.3276298,-41.0035682
9,10000000,135.0882242,79.88171601,-40.86700266
10,100,1.830854654,0.001000643,-99.94534559
10,500,0.019059896,0.020276308,6.382047209
10,1000,0.024505138,0.022288799,-9.044385204
10,5000,0.074867725,0.073096275,-2.366106402
10,10000,0.1261127,0.119607925,-5.157905682
10,50000,0.602331877,0.388232231,-35.5451295
10,100000,1.21848774,0.766875029,-37.06337752
10,500000,6.291990042,3.679632187,-41.51878559
10,1000000,13.05626607,7.50351119,-42.52942495
10,5000000,65.14946675,38.09791541,-41.52229126
10,10000000,133.8664765,82.2007761,-38.59495056
