string,weight
Ibis,11
Ibis Styles,6
Hotel des Arts,4
Citadines,4
Timhotel,4
Hotel Kyriad,3
Hotel de France,3
Best Western,3
Hotel de la Paix,3
Grand Hotel Leveque,2
Hotel de Lille,2
Hotel de l'Aveyron,2
Novotel,2
Hotel Saint-Cyr Étoile,2
Hotel Saint-Charles,2
Viator,2
Hotel du Midi,2
Holiday Inn,2
Hotel France d'Antin,2
Hotel La Bourdonnais,2
Hotel London,2
Ideal Hotel,2
Hotel des Pyrenees,2
Hotel Rhin et Danube,2
Hotel de l'Europe,2
Regina,2
Hotel de l'Avenue,2
Nouvel Hotel,2
Hotel Le Grillon,2
Mercure Hotel,2
Le Cardinal,2
Hotel du parc,2
Hotel du Commerce,2
Hotel Savoy,2
Hotel des Bains,2
Hotel Mercure,2
Sure Hotel,2
Hotel Central,2
Hotel Du Marche,2
Hipotel,2
BVJ Paris-Louvre,1
Hotel Crayon Rouge,1
Hotel Saint-Honore,1
Hotel Montpensier,1
Hotel Louvre Bon Enfants,1
Hotel Vendome,1
Hotel Costes,1
Hotel Vivienne,1
Hotel des Boulevards,1
Hotel Sainte-Marie,1
Hotel du Loiret,1
Hotel du Septième Art,1
Hotel de la Place des Vosges,1
Hotel Port-Royal,1
Maitre Albert B&B,1
Le Clos Medicis,1
L'Hotel,1
Victoria Palace Hotel,1
Le Petit Chomel,1
Signature,1
Hotel du Champ de Mars,1
Hotel Saint-Dominique,1
Hotel Duquesne Eiffel,1
Hotel de la Tulipe,1
Timhotel Best Western Tour Eiffel Invalides,1
Four Seasons Hotel George V,1
Hyatt Regency Paris - Madeleine,1
Hotel du Terrage,1
Comfort Hotel Gare de l'Est,1
Hotel Hangely,1
Le General Hotel,1
Classics Hotel,1
Grand Hotel Nouvel Opera,1
Hotel du Nord et de l'Est,1
Hotel Parisianer,1
Hotel Prince Albert,1
9 Hotel Bastille-Lyon,1
Paris Reuilly - Aparthotels Adagio,1
Hotel Palym,1
Kyriad Italie Gobelins,1
Ibis Styles - Butte aux Cailles,1
Jack's,1
La Manufacture,1
Mercure Gobelins,1
Holiday Inn Express Paris place d'Italie,1
Le Parc,1
Hotel Prince Albert Monceau,1
Hotel Bonsejour,1
Hotel Sofia,1
Hotel Eden Montmartre,1
Paris Hotel,1
Terrass'' Hotel,1
Hotel Bonne Nouvelle,1
Tiquetonne Hotel,1
Tryp Hotel Paris François,1
Hotel Victoires Opera,1
Grand Hotel des Arts et Metiers,1
Hotel Royal Bel Air,1
Hotel Carladez Cambronne,1
Novotel Paris Vaugirand Montparnasse,1
Hotel Ibis Cambronne,1
Novotel Paris Gare Montparnasse,1
