string,weight
Pret A Manger,234
Subway,169
McDonald's,167
KFC,112
Nando's,108
Greggs,106
Domino's,95
PizzaExpress,93
itsu,58
Pizza Hut,52
Burger King,46
Papa John's,46
LEON,41
EAT.,39
Wasabi,38
Wagamama,37
Franco Manca,36
Morley's,35
Five Guys,32
Zizzi,31
Gourmet Burger Kitchen,29
Perfect Fried Chicken,29
Prezzo,26
Chicken Cottage,25
Côte Brasserie,25
Pizza Hut Delivery,24
Honest Burgers,23
Pizza GoGo,22
Tortilla,20
Byron,18
Carluccio's,18
Bill's,14
YO! Sushi,14
Bella Italia,13
Firezza,13
Dixy Chicken,12
Pho,12
Tops Pizza,12
Wimpy,12
Abokado,11
Charcoal Grill,11
Frankie & Benny's,11
German Doner Kebab,11
Upper Crust,11
Wahaca,11
Best Kebab,10
Favorite Chicken & Ribs,10
Pizza Express,10
Pure,10
Roosters Piri Piri,10
