experiment,points,time
1,100,0.023341894149780273
1,200,0.01395416259765625
1,400,0.015430688858032227
1,800,0.021169185638427734
1,1600,0.02904224395751953
1,3200,0.0510866641998291
1,6400,0.09234786033630371
1,12800,0.1976759433746338
1,25600,0.33008599281311035
1,51200,0.6952996253967285
1,102400,1.3901875019073486
2,100,0.012146711349487305
2,200,0.01288914680480957
2,400,0.015201807022094727
2,800,0.051412343978881836
2,1600,0.02828526496887207
2,3200,0.04278230667114258
2,6400,0.09510207176208496
2,12800,0.16215109825134277
2,25600,0.36479616165161133
2,51200,0.6903493404388428
2,102400,1.4097602367401123
3,100,0.014310836791992188
3,200,0.013562917709350586
3,400,0.015055179595947266
3,800,0.020055055618286133
3,1600,0.028531551361083984
3,3200,0.04842662811279297
3,6400,0.08980417251586914
3,12800,0.1723017692565918
3,25600,0.3690459728240967
3,51200,0.6927762031555176
3,102400,1.3814454078674316
4,100,0.0164794921875
4,200,0.013614177703857422
4,400,0.014726400375366211
4,800,0.02035212516784668
4,1600,0.029645204544067383
4,3200,0.04706597328186035
4,6400,0.09292125701904297
4,12800,0.20519471168518066
4,25600,0.3321664333343506
4,51200,0.6920766830444336
4,102400,1.4019229412078857
5,100,0.013643264770507812
5,200,0.013199806213378906
5,400,0.014991998672485352
5,800,0.021053075790405273
5,1600,0.02956867218017578
5,3200,0.0749058723449707
5,6400,0.09279131889343262
5,12800,0.1664721965789795
5,25600,0.36455440521240234
5,51200,0.68524169921875
5,102400,1.4469292163848877
6,100,0.01356816291809082
6,200,0.013088464736938477
6,400,0.015372753143310547
6,800,0.020461559295654297
6,1600,0.030185699462890625
6,3200,0.04887270927429199
6,6400,0.09103989601135254
6,12800,0.17778611183166504
6,25600,0.37259697914123535
6,51200,0.7191033363342285
6,102400,1.4582605361938477
7,100,0.012521982192993164
7,200,0.013522148132324219
7,400,0.015146493911743164
7,800,0.020290136337280273
7,1600,0.03354835510253906
7,3200,0.051868438720703125
7,6400,0.09333610534667969
7,12800,0.1737210750579834
7,25600,0.38169217109680176
7,51200,0.7526018619537354
7,102400,1.454214334487915
8,100,0.018007516860961914
8,200,0.012597799301147461
8,400,0.015117883682250977
8,800,0.022040367126464844
8,1600,0.02968430519104004
8,3200,0.04981350898742676
8,6400,0.12163496017456055
8,12800,0.17588233947753906
8,25600,0.33661866188049316
8,51200,0.688621997833252
8,102400,1.4348928928375244
9,100,0.015521764755249023
9,200,0.011608362197875977
9,400,0.015332698822021484
9,800,0.020099401473999023
9,1600,0.030442237854003906
9,3200,0.04581165313720703
9,6400,0.09006714820861816
9,12800,0.1684420108795166
9,25600,0.36101841926574707
9,51200,0.6851100921630859
9,102400,1.388611078262329
10,100,0.013234615325927734
10,200,0.013092517852783203
10,400,0.01453089714050293
10,800,0.02079463005065918
10,1600,0.03026437759399414
10,3200,0.04587078094482422
10,6400,0.09026336669921875
10,12800,0.1659712791442871
10,25600,0.3594989776611328
10,51200,0.6810011863708496
10,102400,1.3899364471435547
