string,weight
Main Street,1
Oak Street,1
Maple Street,1
Pine Street,1
Elm Street,1
Birch Street,1
Cedar Street,1
Walnut Street,1
Washington Street,1
Park Avenue,1
River Road,1
King Street,1
Queen Street,1
Broad Street,1
High Street,1
First Street,1
Second Street,1
Third Street,1
Fourth Street,1
Fifth Avenue,1
Sunset Boulevard,1
Valley Drive,1
Hill Street,1
Mountain Road,1
Lake Drive,1
Green Street,1
Rose Avenue,1
Spring Street,1
Church Street,1
Chestnut Street,1
Forest Lane,1
Prospect Avenue,1
Liberty Street,1
School Street,1
College Avenue,1
Washington Avenue,1
Jefferson Street,1
Franklin Street,1
Madison Avenue,1
Broadway,1
Lincoln Avenue,1
Maple Lane,1
Birch Lane,1
Summit Avenue,1
Park Street,1
Park Place,1
Oak Lane,1
Pine Avenue,1
Walnut Avenue,1
Riverside Drive,1
Pleasant Street,1
Sunset Drive,1
Garden Street,1
Ash Street,1
River Street,1
Rose Street,1
Meadow Lane,1
Silver Street,1
Brook Drive,1
Clover Street,1
Cedar Lane,1
Copper Street,1
Redbud Road,1
Autumn Street,1
Morningview Drive,1
Village Street,1
Highland Road,1
Country Road,1
West Street,1
East Street,1
North Street,1
South Street,1
Chestnut Lane,1
Beach Road,1
Forest Drive,1
Hamilton Street,1
Franklin Road,1
Beacon Street,1
Grove Street,1
Harbor Drive,1
Riverbend Road,1
Colonial Road,1
Hillcrest Avenue,1
Ivy Street,1
Magnolia Street,1
Lantern Lane,1
Tanglewood Drive,1
Golden Avenue,1
Maple Drive,1
Meadowbrook Road,1
Shady Lane,1
Bluebell Street,1
Valleyview Drive,1
Crystal Street,1
New Haven Road,1
Oak Grove Road,1
Willow Street,1
Pine Ridge Road,1
Diamond Street,1
Evergreen Avenue,1
